Symbol,Volume,MktCap,PE,Return
NVDA,19.298363694791963,28.886067190438485,46.25,21.79
AMCR,18.635235517079753,23.74627275263528,16.02,-10.39
TSLA,18.49426572222577,27.668316900672245,185.15,76.45
SOFI,18.279451225213627,23.544704245393678,35.35,132.42
F,18.200993711986392,24.463598572649264,8.47,-13.41
AMD,18.190613277565333,26.060457702876505,93.61,-19.98
OSCR,18.04143878388448,22.410405257044363,53.05,19.55
AAPL,18.372718736766256,28.73029984913982,31.36,-3.43
VALE,17.984792510182764,24.407082496717884,6.57,-19.68
PLTR,18.25274718175309,26.504058734235503,596.96,468.29
CNH,17.83322602395044,23.49460377728454,15.99,25.39
GOOGL,18.12795932864788,28.338071201657485,18.58,-7.02
AAL,17.867764960773723,22.669747251370016,10.62,-4.84
NU,17.766869654504795,24.793454309290752,27.59,2.36
AMZN,18.13383831889803,28.4312273687819,34.15,13.0
PCG,17.575570489010573,24.140402182410067,12.72,-21.68
GOOG,17.82078708426837,28.338071201657485,18.72,-7.22
SMCI,17.703671106127747,24.020878902351996,24.63,-45.2
GRAB,17.571300717360838,23.64195506600209,449.0,27.2
HIMS,17.453964761883896,23.388686855992663,94.44,189.93
INFY,17.433806590622748,25.074162936423374,23.26,-2.54
BAC,17.93482411734324,26.5601241838268,13.58,13.69
CMCSA,17.3673954868693,25.582496676883434,8.5,-10.27
NGD,17.37499291859214,22.072377406938585,26.83,146.43
PFE,17.344103882144868,25.637962753963745,17.37,-15.48
MRK,17.335024166444473,26.014165762166584,11.49,-40.54
HOOD,17.42540091582784,24.961335492369322,44.86,267.34
HPE,17.322838158986347,23.88311326535237,17.27,-12.26
BBD,17.284179654741443,24.125396116657168,9.77,31.17
CSCO,17.73260070372544,26.294000611503808,27.07,40.27
EQX,17.26787622620083,22.2543096819525,8.46,13.83
COIN,17.261553827418265,25.086950277372427,57.86,45.25
T,17.131113739784904,26.02140818818016,17.04,48.9
AVTR,17.095744852963414,22.94756501154191,13.05,-39.69
PBR,17.047539500077388,25.117998901929788,9.75,-8.86
KVUE,17.032624832212814,24.438470716227897,38.2,13.17
SAN,17.012631451029446,25.51545486353008,8.72,73.29
MU,17.188548491165857,25.651475586667335,29.57,-11.09
ABEV,16.96713485147524,24.36952480522371,14.06,13.81
MO,16.958412054734886,25.334875246563403,10.03,28.63
AVGO,17.37908185861069,27.793139965404983,90.91,57.01
JNJ,16.93093515443627,26.610494236058276,16.66,0.45
PSLV,16.929114752113154,22.578156587614554,3.99,20.82
CDE,16.92211314034969,22.462503186915356,30.69,56.97
HL,17.123568734882806,22.017993004540813,48.08,14.26
LRCX,16.912806146927707,25.474681251145768,25.21,-11.67
NEM,16.90832416916883,24.894725749386037,13.26,36.69
MSFT,17.412493997373673,28.89740518037588,36.89,6.64
USB,16.87318423305845,24.934607941220367,10.72,6.76
RF,16.867859431937163,23.7167956869452,10.72,14.97
GME,16.805476236623928,23.074164790219008,44.26,-0.8
RKT,16.799473847918268,24.077266783777592,720.0,2.13
HPQ,16.786232668514096,23.84324907283826,9.27,-33.58
V,16.777013639967606,27.217620101650734,34.03,22.54
KR,16.772605947903347,24.58551018981141,19.61,43.88
ASX,16.76425604029393,23.814899024877604,19.86,-11.06
TME,16.757683814423704,24.084196625380013,21.74,29.41
HBAN,17.05610873490479,23.862058953341055,12.18,22.03
XOM,17.40038968205945,26.926440825742137,15.21,0.57
IAG,16.72661044067756,22.15094203584507,4.97,94.89
KDP,16.6921214006104,24.54334897667569,30.53,-3.14
AGNC,17.169301817229158,22.966949822020297,25.67,-6.19
ITUB,16.68056450787615,24.94217041910392,9.34,20.95
CCL,16.676796734965343,24.195387556945263,15.34,45.03
VZ,16.673932880553657,25.89271520603458,9.93,1.29
IPG,16.662452757933103,22.881865079412076,17.88,-20.64
GGB,16.638554723692547,22.47749649428205,9.86,-13.07
KGC,16.63742501521553,23.668914610332415,15.8,102.62
APH,16.601077201494313,25.454936506543845,45.54,39.47
